Week;L;M;S;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3
0;0,3487;3,3464;0,14602;2,1;2,5;2,9;3,3;3,9;4,4;5
1;0,2776;3,4879;0,14483;2,2;2,6;3;3,5;4;4,6;5,3
2;0,2581;3,7529;0,14142;2,4;2,8;3,2;3,8;4,3;4,9;5,6
3;0,2442;4,0603;0,13807;2,6;3,1;3,5;4,1;4,7;5,3;6
4;0,2331;4,3671;0,13497;2,9;3,3;3,8;4,4;5;5,7;6,4
5;0,2237;4,659;0,13215;3,1;3,5;4,1;4,7;5,3;6;6,8
6;0,2155;4,9303;0,1296;3,3;3,8;4,3;4,9;5,6;6,3;7,2
7;0,2081;5,1817;0,12729;3,5;4;4,6;5,2;5,9;6,6;7,5
8;0,2014;5,4149;0,1252;3,7;4,2;4,8;5,4;6,1;6,9;7,8
9;0,1952;5,6319;0,1233;3,8;4,4;5;5,6;6,4;7,2;8
10;0,1894;5,8346;0,12157;4;4,5;5,2;5,8;6,6;7,4;8,3
11;0,184;6,0242;0,12001;4,2;4,7;5,3;6;6,8;7,6;8,5
12;0,1789;6,2019;0,1186;4,3;4,9;5,5;6,2;7;7,8;8,8
13;0,174;6,369;0,11732;4,4;5;5,7;6,4;7,2;8;9
